,house id,number of crimes,Assault,Breaking & Entering,Drugs,Property Crime,Robbery,Theft,Theft from Vehicle,Theft of Vehicle
0,7129300520,408,32.0,131.0,11.0,85.0,6.0,39.0,54.0,50.0
1,6414100192,15,1.0,2.0,5.0,2.0,,2.0,3.0,
2,5631500400,121,10.0,20.0,7.0,36.0,1.0,21.0,21.0,5.0
3,2487200875,2,,,,2.0,,,,
4,1954400510,0,,,,,,,,
5,7237550310,74,4.0,21.0,1.0,24.0,,9.0,13.0,2.0
6,1321400060,3,,,,,,2.0,1.0,
7,2008000270,2,,,1.0,1.0,,,,
8,2414600126,4738,435.0,739.0,193.0,1230.0,150.0,801.0,531.0,659.0
9,3793500160,54,5.0,20.0,2.0,9.0,,11.0,7.0,
10,1736800520,1,,,,,,,,1.0
11,9212900260,0,,,,,,,,
12,114101516,103,11.0,23.0,3.0,22.0,1.0,14.0,22.0,7.0
13,6054650070,1,,,,1.0,,,,
14,1175000570,0,,,,,,,,
15,9297300055,9,1.0,,,3.0,,1.0,1.0,3.0
16,1875500060,24,1.0,8.0,,8.0,,4.0,3.0,
17,6865200140,4,,1.0,,2.0,,,1.0,
18,16000397,50,5.0,13.0,2.0,10.0,,8.0,9.0,3.0
19,7983200060,289,20.0,78.0,2.0,72.0,2.0,32.0,58.0,25.0
20,6300500875,17,1.0,1.0,5.0,,2.0,3.0,4.0,1.0
21,2524049179,0,,,,,,,,
22,7137970340,39,3.0,15.0,2.0,3.0,,8.0,2.0,6.0
23,8091400200,5,,2.0,1.0,,,2.0,,
24,3814700200,9,,4.0,1.0,2.0,,2.0,,
25,1202000200,53,5.0,14.0,2.0,10.0,,8.0,11.0,3.0
26,1794500383,0,,,,,,,,
27,3303700376,10,,3.0,1.0,2.0,,2.0,1.0,1.0
28,5101402488,38,5.0,1.0,8.0,3.0,10.0,7.0,3.0,1.0
29,1873100390,128,7.0,15.0,2.0,54.0,2.0,13.0,29.0,6.0
30,8562750320,22,2.0,4.0,1.0,5.0,,2.0,7.0,1.0
31,2426039314,0,,,,,,,,
32,461000390,2,,2.0,,,,,,
33,7589200193,13,2.0,2.0,,1.0,1.0,1.0,2.0,4.0
34,7955080270,645,43.0,158.0,22.0,160.0,4.0,88.0,140.0,30.0
