,Unnamed: 0,id,number of crimes,Assault,Breaking & Entering,Drugs,Property Crime,Robbery,Theft,Theft from Vehicle,Theft of Vehicle,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,0,7129300520,408,32.0,131.0,11.0,85.0,6.0,39.0,54.0,50.0,20141013T000000,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650
1,1,6414100192,15,1.0,2.0,5.0,2.0,0.0,2.0,3.0,0.0,20141209T000000,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721000000000004,-122.319,1690,7639
2,2,5631500400,121,10.0,20.0,7.0,36.0,1.0,21.0,21.0,5.0,20150225T000000,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.23299999999999,2720,8062
3,3,2487200875,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20141209T000000,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.39299999999999,1360,5000
4,4,1954400510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20150218T000000,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503
5,5,7237550310,74,4.0,21.0,1.0,24.0,0.0,9.0,13.0,2.0,20140512T000000,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930
6,6,1321400060,3,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,20140627T000000,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.32700000000001,2238,6819
7,7,2008000270,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20150115T000000,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711
8,8,2414600126,4738,435.0,739.0,193.0,1230.0,150.0,801.0,531.0,659.0,20150415T000000,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113
9,9,3793500160,54,5.0,20.0,2.0,9.0,0.0,11.0,7.0,0.0,20150312T000000,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570
